股票代码,企业名称,数字技术应用,人工智能技术,区块链技术,大数据技术,云计算技术,总词频数,数字化转型指数
300076,宁波GQY视讯股份有限公司,0,6,0,2,0,8,0.337166892
300163,宁波先锋新材料股份有限公司,7,0,0,0,0,7,-0.08878452
002592,南宁八菱科技股份有限公司,0,0,0,0,0,0,-0.220801475
300165,江苏天瑞仪器股份有限公司,2,1,0,5,0,8,0.686126545
300112,深圳万讯自控股份有限公司,0,0,0,0,0,0,-0.220801475
300276,三丰智能装备集团股份有限公司,0,5,0,0,0,5,-0.03304718
300236,上海新阳半导体材料股份有限公司,0,4,0,0,0,4,-0.070598039
300762,上海瀚讯信息技术股份有限公司,0,3,0,1,0,4,0.058182708
300827,上能电气股份有限公司,0,2,0,0,0,2,-0.145699757
300150,北京世纪瑞尔技术股份有限公司,0,1,0,0,0,1,-0.183250616
300239,包头东宝生物技术股份有限公司,0,0,0,0,0,0,-0.220801475
002675,烟台东诚药业集团股份有限公司,0,0,0,0,0,0,-0.220801475
300414,四川中光防雷科技股份有限公司,0,1,0,0,0,1,-0.183250616
003009,陕西中天火箭技术股份有限公司,0,0,0,1,0,1,-0.054469869
300470,中密控股股份有限公司,0,2,0,0,0,2,-0.145699757
300425,中建环能科技股份有限公司,9,1,0,0,0,10,-0.013514531
300177,广州中海达卫星导航技术股份有限公司,0,14,0,0,0,14,0.304910551
300025,湖南中科电气股份有限公司,0,0,0,0,0,0,-0.220801475
300777,中简科技股份有限公司,0,0,0,0,0,0,-0.220801475
300114,中航成飞股份有限公司,3,2,0,0,0,5,-0.089121062
300936,常州中英科技股份有限公司,1,2,0,0,0,3,-0.126840192
300516,湖北久之洋红外系统股份有限公司,2,7,0,1,0,10,0.246105274
300631,江苏久吾高科技股份有限公司,0,0,0,0,0,0,-0.220801475
300406,北京九强生物技术股份有限公司,0,3,0,0,0,3,-0.108148898
300304,江苏云意电气股份有限公司,0,0,0,0,0,0,-0.220801475
002866,江苏传艺科技股份有限公司,0,1,0,0,0,1,-0.183250616
300213,北京佳讯飞鸿电气股份有限公司,0,44,0,1,0,45,1.597767928
300715,江苏凯伦建材股份有限公司,0,0,0,0,0,0,-0.220801475
300236,上海凯利泰医疗科技股份有限公司,0,2,0,0,0,2,-0.145699757
300407,天津凯发电气股份有限公司,1,4,0,0,0,5,-0.051738474
002549,湖南凯美特气体股份有限公司,0,0,0,0,0,0,-0.220801475
300800,力合科技（湖南）股份有限公司,0,6,0,2,0,8,0.337166892
002393,天津力生制药股份有限公司,0,0,0,0,0,0,-0.220801475
300016,"

北京北陆药业股份有限公司",0,0,0,0,0,0,-0.220801475
300717,江苏华信新材料股份有限公司,2,0,0,0,0,2,-0.183082345
000790,成都华神科技集团股份有限公司,0,1,0,0,0,1,-0.183250616
001208,湖南华菱线缆股份有限公司,4,3,0,0,0,7,-0.032710638
300809,华辰精密装备（昆山）股份有限公司,0,2,0,0,0,2,-0.145699757
300929,安徽华骐环保科技股份有限公司,0,3,0,0,0,3,-0.108148898
002757,南兴装备股份有限公司,1,17,0,0,0,18,0.436422693
300417,佛山市南华仪器股份有限公司,0,5,0,16,0,21,2.62825852
300346,江苏南大光电材料股份有限公司,0,2,0,0,0,2,-0.145699757
300471,厚普清洁能源（集团）股份有限公司,0,1,0,0,0,1,-0.183250616
300551,上海古鳌电子科技股份有限公司,0,10,0,1,0,11,0.321038722
003029,长春吉大正元信息技术股份有限公司,1,10,0,2,0,13,0.506229893
002803,厦门吉宏科技股份有限公司,52,4,0,0,0,56,0.910099341
300302,北京同有飞骥科技股份有限公司,0,2,0,0,0,2,-0.145699757
300179,河南四方达超硬材料股份有限公司,0,0,0,0,0,0,-0.220801475
300786,青岛国林科技集团股份有限公司,1,0,0,0,0,1,-0.20194191
300855,江苏图南合金股份有限公司,0,0,0,0,0,0,-0.220801475
300611,圣邦微电子（北京）股份有限公司,4,18,0,0,0,22,0.530552247
300394,苏州天孚光通信股份有限公司,0,16,0,0,0,16,0.380012269
002134,"

天津普林电路股份有限公司",0,0,0,0,0,0,-0.220801475
300922,秦皇岛天秦装备制造股份有限公司,0,0,0,0,0,0,-0.220801475
002338,长春奥普光电技术股份有限公司,0,0,0,2,0,2,0.111861738
002231,奥维通信股份有限公司,0,1,0,1,0,2,-0.01691901
300585,南京奥联汽车电子电器股份有限公司,0,4,0,0,0,4,-0.070598039
002849,浙江威星智能仪表股份有限公司,2,3,0,0,0,5,-0.070429768
300617,江苏安靠智电股份有限公司,0,1,0,0,0,1,-0.183250616
001696,重庆宗申动力机械股份有限公司,0,2,0,0,0,2,-0.145699757
300905,苏州宝丽迪材料科技股份有限公司,0,0,0,0,0,0,-0.220801475
300402,南京宝色股份公司,0,1,0,0,0,1,-0.183250616
300576,深圳市容大感光科技股份有限公司,1,1,0,0,0,2,-0.164391051
300613,上海富瀚微电子股份有限公司,0,28,0,0,0,28,0.830622578
002810,山东赫达集团股份有限公司,0,0,0,0,0,0,-0.220801475
300452,安徽山河药用辅料股份有限公司,0,0,0,0,0,0,-0.220801475
300930,杭州屹通新材料股份有限公司,1,1,0,0,0,2,-0.164391051
300842,无锡帝科电子材料股份有限公司,0,0,0,0,0,0,-0.220801475
300638,深圳市广和通无线股份有限公司,0,5,0,0,0,5,-0.03304718
300900,广联航空工业股份有限公司,0,0,0,0,0,0,-0.220801475
300841,成都康华生物制品股份有限公司,0,0,0,0,0,0,-0.220801475
300823,建科智能装备制造（天津）股份有限公司,0,2,0,6,0,8,0.852289881
002833,广州弘亚数控机械股份有限公司,0,0,0,0,0,0,-0.220801475
002890,山东弘宇精机股份有限公司,0,0,0,0,0,0,-0.220801475
300429,常州强力电子新材料股份有限公司,0,1,0,0,0,1,-0.183250616
003033,青岛征和工业股份有限公司,0,0,0,0,0,0,-0.220801475
300780,四川德恩精工科技股份有限公司,3,2,0,0,0,5,-0.089121062
300769,深圳市德方纳米科技股份有限公司,0,0,0,0,0,0,-0.220801475
300667,北京必创科技股份有限公司,2,3,0,0,0,5,-0.070429768
003025,思进智能成形装备股份有限公司,0,0,0,0,0,0,-0.220801475
300488,恒锋工具股份有限公司,0,1,0,0,0,1,-0.183250616
002812,云南恩捷新材料股份有限公司,0,1,0,0,0,1,-0.183250616
300460,广东惠伦晶体科技股份有限公司,7,2,0,0,0,9,-0.013682802
002190,四川成飞集成科技股份有限公司,0,0,0,0,0,0,-0.220801475
300357,浙江我武生物科技股份有限公司,0,4,0,0,0,4,-0.070598039
300875,天津捷强动力装备股份有限公司,0,0,0,0,0,0,-0.220801475
300623,江苏捷捷微电子股份有限公司,1,3,0,1,0,5,0.077042273
300806,江苏斯迪克新材料科技股份有限公司,2,0,0,0,0,2,-0.183082345
300259,新天科技股份有限公司,0,13,0,3,0,16,0.766354511
300593,北京新雷能科技股份有限公司,0,0,0,0,0,0,-0.220801475
300906,江西日月明测控科技股份有限公司,0,0,0,1,0,1,-0.054469869
300503,广州市昊志机电股份有限公司,0,1,0,0,0,1,-0.183250616
300812,深圳市易天自动化设备股份有限公司,2,5,0,11,0,18,1.834319619
300648,福建星云电子股份有限公司,0,0,0,0,0,0,-0.220801475
